GEO_ID,county,household_median_income,household_mean_income,family_median_income,family_mean_income,pct_household_under_10k,pct_household_10k_to_15k,pct_household_15k_to_25k,pct_with_earnings,pct_with_social_security,pct_with_snap_assistance,pct_with_retirement_income,median_household_income_all,median_family_income,median_female_householder_no_spouse,median_nonfamily_household,median_earnings_all,median_earnings_fulltime,median_earnings_male,median_earnings_female
0500000US41001,Baker,46922,67371,60905,83483,6.6,5.6,11.5,61.4,46.7,17.6,31.0,46922,60905,34516,30250,32471,43986,38683,24094
0500000US41003,Benton,68732,91969,94740,120418,8.1,3.9,8.0,79.5,29.7,11.0,23.7,68732,94740,48787,37970,26831,58669,31233,22329
0500000US41005,Clackamas,88517,116164,106288,134748,3.7,2.5,5.1,77.9,33.1,10.9,25.4,88517,106288,53130,50833,44475,62470,54288,36872
0500000US41007,Clatsop,61846,79802,81228,96644,4.4,3.6,9.9,71.1,40.7,15.7,27.8,61846,81228,51938,37205,34302,46258,40158,27449
0500000US41009,Columbia,73909,88553,87723,101874,3.5,4.5,6.1,73.7,39.8,18.2,27.5,73909,87723,44387,41354,39550,56167,48658,31039
0500000US41011,Coos,52548,71949,68051,88066,7.2,5.9,11.4,61.8,48.3,23.1,31.2,52548,68051,35909,28723,30509,46390,38025,24754
0500000US41013,Crook,64820,80162,76396,90414,3.3,3.8,7.2,68.1,44.2,19.2,35.1,64820,76396,35910,34423,35105,52870,43970,30135
0500000US41015,Curry,57553,74587,65503,85560,4.1,5.3,11.5,56.2,56.9,15.5,33.1,57553,65503,32026,30082,32214,55007,43214,21510
0500000US41017,Deschutes,74082,99009,88527,115811,4.8,2.9,6.2,75.0,34.8,10.6,24.5,74082,88527,47634,45623,37135,51832,44303,31341
0500000US41019,Douglas,52479,67505,63558,78012,4.5,5.3,11.2,64.5,47.3,18.8,31.6,52479,63558,35955,31985,31784,45362,39342,25583
0500000US41021,Gilliam,51705,62034,68281,83569,7.5,8.9,10.5,61.2,49.9,14.7,26.7,51705,68281,53333,28839,34313,55128,43692,28864
0500000US41023,Grant,51100,66479,61285,81755,5.4,8.4,9.1,62.1,50.3,15.5,32.7,51100,61285,32358,32974,30427,42333,37773,20868
0500000US41025,Harney,42095,59741,53671,70235,5.3,4.6,10.8,69.1,48.6,23.8,23.7,42095,53671,34650,26504,24652,44792,25043,24028
0500000US41027,Hood River,77815,103336,90231,117734,2.5,2.1,5.6,81.6,31.8,12.8,24.0,77815,90231,44111,49589,36496,49609,40595,32952
0500000US41029,Jackson,61020,81053,74738,95280,5.9,3.5,9.6,70.5,39.5,17.4,25.2,61020,74738,41151,34941,33236,46484,39006,29305
0500000US41031,Jefferson,59748,79301,69704,89091,7.5,4.7,8.0,71.9,40.8,28.5,26.3,59748,69704,40151,36623,32566,43499,35383,29676
0500000US41033,Josephine,51733,71076,61115,81023,6.2,5.5,11.2,65.1,45.1,24.2,30.5,51733,61115,30991,30256,29411,43503,34538,24243
0500000US41035,Klamath,50790,66571,61739,77040,8.6,6.4,10.0,68.2,42.5,23.4,24.1,50790,61739,34955,30109,31609,43500,39067,26162
0500000US41037,Lake,50685,62360,64401,74934,9.0,7.8,11.6,65.5,43.6,18.4,22.2,50685,64401,25781,24508,30324,45200,36797,24111
0500000US41039,Lane,59016,79932,77469,96367,6.7,4.6,8.9,74.0,35.1,19.8,24.3,59016,77469,37349,35588,30757,47606,35427,26263
0500000US41041,Lincoln,54961,73239,67792,88618,5.9,5.2,9.7,64.0,49.2,18.0,32.3,54961,67792,43789,35133,30087,46860,33123,28001
0500000US41043,Linn,63313,75140,74266,85821,4.6,3.4,8.9,75.2,36.5,19.5,24.6,63313,74266,40063,35842,36043,49599,44553,27936
0500000US41045,Malheur,47906,61392,60291,74522,7.4,6.7,12.1,73.1,37.6,27.2,20.2,47906,60291,29710,24060,27543,38564,29148,23947
0500000US41047,Marion,64880,83964,75853,95922,4.5,3.6,8.1,76.9,33.0,19.8,23.8,64880,75853,43619,39878,34411,46435,39032,29951
0500000US41049,Morrow,61659,82246,71175,92763,4.3,3.1,8.0,76.8,34.0,18.0,18.5,61659,71175,29046,37582,33889,44473,39749,28817
0500000US41051,Multnomah,76290,104296,98575,128637,5.6,3.8,6.5,81.3,23.8,15.7,17.0,76290,98575,47395,53437,42112,58680,46183,37544
0500000US41053,Polk,70238,92048,84985,102922,5.7,4.8,6.8,72.1,36.0,19.2,27.7,70238,84985,44094,36956,35336,51209,41692,28989
0500000US41055,Sherman,53606,69881,64643,79871,2.5,5.6,12.1,70.2,42.3,20.3,24.1,53606,64643,29063,35865,35034,45625,37169,31063
0500000US41057,Tillamook,55730,72344,66116,85744,5.4,4.3,9.3,64.3,47.6,16.8,32.6,55730,66116,35196,36370,33540,45970,40127,27009
0500000US41059,Umatilla,63123,76368,71408,85638,5.3,4.1,10.1,76.6,33.1,21.1,22.8,63123,71408,38576,34884,33099,44624,38954,28478
0500000US41061,Union,55227,70487,67927,84175,6.2,4.0,10.7,71.6,40.7,20.5,28.7,55227,67927,33192,29485,30916,44059,39019,23023
0500000US41063,Wallowa,57891,78110,71591,92245,6.4,4.3,7.7,70.8,45.0,11.7,26.4,57891,71591,41495,30156,28785,46065,32188,27281
0500000US41065,Wasco,57853,83885,71326,104092,3.7,3.9,10.7,72.9,38.4,21.3,27.2,57853,71326,46477,32031,34679,44553,40739,26668
0500000US41067,Washington,92025,115631,108981,133429,3.2,2.1,4.7,83.4,24.8,10.1,18.4,92025,108981,58095,56985,46009,64355,55504,38014
0500000US41069,Wheeler,46648,56275,55833,68545,3.2,7.1,13.2,58.1,59.7,17.8,30.0,46648,55833,32813,30000,28242,37469,31806,26484
0500000US41071,Yamhill,73409,95069,87426,108973,4.8,3.1,7.6,75.4,34.8,16.0,25.5,73409,87426,48539,39965,36036,51578,42440,30974
