Location,GDP_2020,GDP_2021,GDP_2022,GDP_2023,GDP_2023_thousands,Percent_change_2021,Percent_change_2022,Percent_change_2023,Rank_in_state_2023
Oregon,237424218,250325781.0,256062724.0,261951538.0,,5.4,2.3,2.3,--
Baker,557152,552332.0,592887.0,607108.0,29.0,-0.9,7.3,2.4,23
Benton,4515038,4715092.0,4891818.0,5061341.0,9.0,4.4,3.7,3.5,21
Clackamas,21061270,22360819.0,23215355.0,23399634.0,3.0,6.2,3.8,0.8,30
Clatsop,1912851,1993512.0,1962602.0,2022457.0,18.0,4.2,-1.6,3.0,22
Columbia,1370710,1465734.0,1480414.0,1558066.0,20.0,6.9,1.0,5.2,11
Coos,2291499,2398251.0,2438942.0,2535614.0,15.0,4.7,1.7,4.0,17
Crook,899256,1010744.0,1187784.0,1293008.0,23.0,12.4,17.5,8.9,8
Curry,666782,700218.0,710841.0,746455.0,28.0,5,1.5,5.0,12
Deschutes,10418735,11514740.0,11957286.0,12442840.0,6.0,10.5,3.8,4.1,16
Douglas,3735869,3918275.0,3908209.0,4052167.0,10.0,4.9,-0.3,3.7,18
Gilliam,323736,295548.0,293881.0,341056.0,34.0,-8.7,-0.6,16.1,1
Grant,258372,268177.0,289060.0,290653.0,35.0,3.8,7.8,0.6,33
Harney,276842,305785.0,320290.0,351439.0,33.0,10.5,4.7,9.7,5
Hood River,1175828,1305973.0,1261249.0,1428075.0,22.0,11.1,-3.4,13.2,4
Jackson,9367440,10015358.0,9957252.0,10314605.0,7.0,6.9,-0.6,3.6,20
Jefferson,747658,762561.0,793472.0,850761.0,27.0,2,4.1,7.2,9
Josephine,2911287,3062153.0,2950786.0,3094718.0,13.0,5.2,-3.6,4.9,13
Klamath,2367513,2482458.0,2493611.0,2609750.0,14.0,4.9,0.4,4.7,14
Lake,307051,311915.0,316371.0,365647.0,32.0,1.6,1.4,15.6,2
Lane,16256109,17393440.0,17722102.0,18136369.0,5.0,7,1.9,2.3,24
Lincoln,1918415,1993652.0,2044164.0,2118359.0,17.0,3.9,2.5,3.6,19
Linn,4822572,4907036.0,5043047.0,5130128.0,8.0,1.8,2.8,1.7,27
Malheur,1259549,1179014.0,1225980.0,1155682.0,25.0,-6.4,4.0,-5.7,35
Marion,16572043,17616488.0,17964887.0,18291247.0,4.0,6.3,2.0,1.8,26
Morrow,1385808,1333145.0,1423243.0,1552151.0,21.0,-3.8,6.8,9.1,7
Multnomah,66845428,70027123.0,71824448.0,73250246.0,1.0,4.8,2.6,2.0,25
Polk,2001010,2152952.0,2149036.0,2343741.0,16.0,7.6,-0.2,9.1,6
Sherman,553820,525771.0,604819.0,547454.0,30.0,-5.1,15.0,-9.5,36
Tillamook,1248080,1201602.0,1173708.0,1183745.0,24.0,-3.7,-2.3,0.9,29
Umatilla,3365042,3427510.0,3575180.0,3553307.0,12.0,1.9,4.3,-0.6,34
Union,967640,1009226.0,1038470.0,1046407.0,26.0,4.3,2.9,0.8,31
Wallowa,316972,339155.0,362645.0,384205.0,31.0,7,6.9,5.9,10
Wasco,1552807,1634324.0,1761798.0,1835697.0,19.0,5.2,7.8,4.2,15
Washington,49525051,52259763.0,53218493.0,54083003.0,2.0,5.5,1.8,1.6,28
Wheeler,33688,32736.0,37728.0,43506.0,36.0,-2.8,15.3,15.3,3
Yamhill,3654845,3878773.0,3897874.0,3921543.0,11.0,6.1,0.5,0.6,32
