county,household_median_income,family_median_income,pct_household_under_25k,pct_with_snap_assistance,median_earnings_male,median_earnings_female
Baker,57844,79569,21.1,18.2,46916,32401
Benton,76011,113224,18.1,13.2,36032,26125
Clackamas,100360,119052,9.7,11.1,60740,42385
Clatsop,68705,89210,16.599999999999998,16.3,46230,37201
Columbia,86359,97279,12.3,17.5,56073,35041
Coos,60313,76897,21.7,22.4,44082,29146
Crook,81675,90819,11.700000000000001,15.8,52372,37038
Curry,64769,72161,18.7,17.1,50913,34111
Deschutes,87640,106366,10.8,10.1,54665,38673
Douglas,58983,72748,19.1,21.2,43791,30574
Gilliam,64219,77734,21.3,13.3,49310,29000
Grant,59800,69852,19.2,15.2,48681,30486
Harney,48338,64253,25.0,22.8,31607,24339
Hood River,82095,104946,10.2,13.4,44892,36984
Jackson,71443,87129,15.5,18.6,45759,35095
Jefferson,73051,78483,15.4,27.1,41229,33822
Josephine,59097,71624,20.299999999999997,24.9,40241,29728
Klamath,59353,71653,22.6,24.1,44899,30878
Lake,61222,82414,25.5,18.5,49392,24464
Lane,69311,87993,17.3,20.0,41328,31082
Lincoln,61314,76426,18.799999999999997,20.2,36582,31571
Linn,73396,87508,13.8,20.3,49533,35339
Malheur,49902,65918,22.5,27.0,30812,30545
Marion,74624,88229,13.9,20.8,44573,34487
Morrow,70217,79496,16.4,21.3,43904,29858
Multnomah,86247,113868,13.9,16.7,54114,44627
Polk,81318,95837,15.200000000000001,20.2,47731,36567
Sherman,59500,77500,20.799999999999997,20.8,47500,27500
Tillamook,66551,77246,15.899999999999999,16.8,43771,31582
Umatilla,68958,79738,16.7,20.2,43809,33743
Union,64212,76661,17.7,21.4,48371,27811
Wallowa,65559,78170,15.5,12.2,43300,27901
Wasco,63602,80076,17.4,22.2,40659,29275
Washington,104434,123005,8.9,11.2,64625,44787
Wheeler,51250,60139,23.700000000000003,14.3,36250,32188
Yamhill,87084,101737,13.0,16.9,50807,34694
