"County","23-24 Graduation Rate","22-23 Graduation Rate","21-22 Graduation Rate","23-24 Fall Membership","23-24 Dropout Count","23-24 Dropout Rate","22-23 Fall Membership","22-23 Dropout Count","22-23 Dropout Rate","21-22 Fall Membership","21-22 Dropout Count","21-22 Dropout Rate"
"Baker","79.1","80.0","81.8","2310","80","3.5","2098","77","3.67","1914","65","3.40"
"Benton","84.9","85.4","83.2","2964","40","1.3","3006","34","1.13","3068","100","3.26"
"Clackamas","89.1","88.3","88.2","19893","343","1.7","19636","341","1.74","19354","453","2.34"
"Clatsop","82.7","81.2","84.2","1583","36","2.3","1553","43","2.77","1569","29","1.85"
"Columbia","74.1","78.7","80.9","2327","76","3.3","2314","60","2.59","2280","57","2.50"
"Coos","66.9","66.8","66.0","2971","172","5.8","3142","197","6.27","3299","159","4.82"
"Crook","95.5","97.3","92.0","1032","12","1.2","960","7","0.73","909","35","3.85"
"Curry","72.9","69.7","79.2","632","32","5.1","627","25","3.99","672","46","6.85"
"Deschutes","87.2","85.1","85.1","8779","200","2.3","8917","298","3.34","8897","345","3.88"
"Douglas","77.1","73.1","74.3","4385","216","4.9","4442","248","5.58","4326","361","8.34"
"Gilliam","100.0","95.0","83.3","94","2","2.1","95","1","1.05","99","0","0.00"
"Grant","63.2","64.2","78.4","739","100","13.5","669","97","14.50","447","50","11.19"
"Harney","64.1","62.3","78.4","623","19","3.0","550","10","1.82","606","10","1.65"
"Hood River","90.9","89.2","89.6","1323","11","0.8","1354","22","1.62","1356","22","1.62"
"Jackson","83.6","84.1","84.4","9160","240","2.6","9188","278","3.03","9071","286","3.15"
"Jefferson","91.4","88.1","89.8","1073","30","2.8","1067","41","3.84","1063","52","4.89"
"Josephine","76.3","75.1","77.7","3471","140","4.0","3460","133","3.84","3420","208","6.08"
"Klamath","74.8","75.1","78.1","3081","99","3.2","3046","49","1.61","2959","173","5.85"
"Lake","88.9","82.4","93.0","346","4","1.2","356","9","2.53","356","9","2.53"
"Lane","77.8","78.1","77.9","14177","571","4.0","14341","564","3.93","14333","572","3.99"
"Lincoln","82.0","80.0","86.3","1760","47","2.7","1720","103","5.99","1733","60","3.46"
"Linn","83.0","79.4","74.5","7339","278","3.8","7238","262","3.62","7455","328","4.40"
"Malheur","86.8","85.4","88.9","1694","24","1.4","1699","51","3.00","1584","25","1.58"
"Marion","79.7","79.2","79.0","20700","878","4.2","20848","880","4.22","20243","1325","6.55"
"Morrow","95.6","96.4","95.1","770","0","0.0","731","4","0.55","720","4","0.56"
"Multnomah","77.9","78.6","79.1","27550","1105","4.0","27529","1182","4.29","27685","1388","5.01"
"Polk","82.4","75.0","79.9","2127","70","3.3","2173","49","2.25","2196","80","3.64"
"Sherman","80.0","92.3","87.5","76","0","0.0","75","3","4.00","68","0","0.00"
"Tillamook","83.1","85.3","81.6","1179","31","2.6","1166","38","3.26","1111","29","2.61"
"Umatilla","85.5","80.4","83.6","4230","147","3.5","4294","170","3.96","4263","189","4.43"
"Union","84.4","82.9","73.6","1184","19","1.6","1214","28","2.31","1184","61","5.15"
"Wallowa","80.5","91.9","88.9","316","4","1.3","300","2","0.67","292","3","1.03"
"Wasco","79.5","75.5","71.0","1142","44","3.9","1104","60","5.43","1034","56","5.42"
"Washington","87.9","88.5","87.7","27058","564","2.1","27289","513","1.88","27237","588","2.16"
"Wheeler","61.9","54.3","49.2","562","71","12.6","489","74","15.13","478","98","20.50"
"Yamhill","87.4","87.7","85.7","5210","141","2.7","5242","106","2.02","5191","141","2.72"
