county,household_income,employment_rate,economic_security,income_equality,healthcare_access,health_outcomes,provider_access,graduation_rate,higher_education,educational_retention,housing_affordability,community_safety,social_cohesion,child_welfare
Baker,57844,95.3511235955,81.8,0.21725129878387503,91.733996271,80.840755185,8.123476848090982,79.1,61.899409947,96.5,85.287846482,3.767983892443703,19.367737099,78.0
Benton,76011,97.061327906,86.8,0.17155550942615475,93.7077318022,83.949833865,11.402508551881414,84.9,85.15496014,98.7,78.087706686,7.750001686826616,12.594868677,88.6
Clackamas,100360,96.6168188529,88.9,0.23400895653555742,93.3762472961,85.341861186,9.107468123861567,89.1,73.56812933,98.3,83.887010792,6.207776732993159,8.940695788,92.8
Clatsop,68705,96.2548362136,83.7,0.2430078965043195,90.3763618356,82.330387315,6.540222367560497,82.7,63.711072664,97.7,83.693270736,6.087231941459607,13.32863897,84.5
Columbia,86359,95.510905594,82.5,0.22920872785303045,93.5936172222,82.287759933,3.4364261168384878,74.1,57.24404909,96.7,86.13062711399999,7.450610169496802,7.2550928843,88.4
Coos,60313,95.131372624,77.6,0.2165477586819809,90.5223606642,78.966854439,9.00900900900901,66.9,54.504202931,94.2,81.983002833,5.834880562971832,12.735094504,78.1
Crook,81675,94.6836234755,84.2,0.26338165670880154,90.6933272913,79.392943972,2.932551319648094,95.5,58.936338474,98.8,80.760986066,2.883217076065061,11.312691164,82.9
Curry,64769,94.7948285554,82.9,0.20445724802747672,90.987880019,81.40237139999999,7.892659826361484,72.9,54.56097561,94.9,82.46628131,9.17034386497091,9.2052776925,80.1
Deschutes,87640,96.1162623708,89.9,0.24156211963993252,91.8813717615,84.92229631800001,10.256410256410257,87.2,72.914449447,97.7,81.337067356,5.897328129177781,9.8960395008,88.7
Douglas,58983,95.0883704871,78.8,0.23475857549184895,91.5899248345,79.351377395,6.43915003219575,77.1,57.37508042,95.1,83.54896274800001,4.550875881432163,10.609069394,82.4
Gilliam,64219,96.3041182682,86.7,0.2445779860423202,92.5351071693,81.262841684,5.279831045406547,100.0,58.379888268,97.9,89.440993789,1000.0,15.839493136,83.9
Grant,59800,93.0612244898,84.8,0.2113221506757021,90.9350173151,80.37267338,8.361204013377927,63.2,52.173913043,86.5,86.299212598,14.24125656632901,11.148272018,79.4
Harney,48338,94.6882862734,77.2,0.2538208571957538,90.6906906907,80.091766101,8.183306055646481,64.1,62.51541307,97.0,84.902597403,4.319743705832205,9.5510983763,79.9
Hood River,82095,96.8348306842,86.6,0.24704099851024497,88.268897276,80.221901123,20.92050209205021,90.9,58.415337631,99.2,83.26506729100001,6.755523096450045,13.658869729,87.9
Jackson,71443,95.64914790579999,81.4,0.2100435481387462,90.7337678586,80.630574706,9.337068160597573,83.6,63.614140295,97.4,78.670456523,2.9775642163832123,9.7921335009,82.0
